node1,node2,timestamp,msg1call0
71627,75261,1354344660,1
68494,35227,1354344720,1
71627,75261,1354344720,1
68494,35227,1354344720,1
75261,71627,1354344840,1
71627,75261,1354344840,0
71627,75261,1354344900,1
71627,75261,1354344900,0
71627,75261,1354344960,0
11692,99856,1354346220,1
99856,11692,1354346340,1
11692,99856,1354346400,1
99856,11692,1354347180,1
10841,53275,1354347420,0
11692,48990,1354347720,1
48990,11692,1354347720,1
11692,48990,1354347780,1
48990,11692,1354347780,1
11692,48990,1354347900,1
85596,37617,1354347900,0
89827,51552,1354348080,1
79877,63188,1354348680,0
46021,75468,1354348860,1
71627,75261,1354348860,1
46021,75468,1354348920,1
71627,75261,1354348920,1
99856,11692,1354349220,1
75261,71627,1354349400,1
11692,99856,1354349400,1
75261,71627,1354349400,1
71627,75261,1354349460,1
71627,75261,1354349520,1
99856,11692,1354349640,1
11692,99856,1354349760,1
99856,11692,1354349760,1
11692,99856,1354349820,1
99856,11692,1354349880,1
29914,46771,1354350060,1
11692,48990,1354350420,1
48990,11692,1354350540,1
48990,11692,1354350600,1
11692,48990,1354350600,1
99856,48990,1354350960,1
71627,75261,1354350960,1
75261,71627,1354351080,1
23144,57637,1354351680,1
23144,57637,1354351740,1
57637,23144,1354351860,1
57637,23144,1354351920,1
23144,57637,1354351920,1
71627,75261,1354351920,1
71627,75261,1354351980,1
86727,45539,1354352040,1
75261,71627,1354352040,1
86727,45539,1354352040,1
75261,71627,1354352040,1
71627,75261,1354352040,1
71627,75261,1354352100,1
62560,31583,1354352220,1
31583,62560,1354352340,1
25544,51597,1354352400,1
75261,71627,1354352460,1
71627,75261,1354352580,1
25544,85970,1354353480,1
75261,71627,1354353480,1
75261,71627,1354353540,1
71627,75261,1354353540,1
25544,85970,1354353600,1
71627,75261,1354353600,1
85970,25544,1354353600,1
25544,85970,1354353840,1
75261,71627,1354353840,1
75261,71627,1354353900,1
71627,75261,1354353900,1
71627,75261,1354353960,1
25544,85970,1354353960,1
71627,75261,1354354020,1
85970,25544,1354354020,1
75261,71627,1354354080,1
71627,75261,1354354140,1
25544,85970,1354354380,1
85970,25544,1354354380,1
25544,85970,1354354500,1
25544,85970,1354354560,1
82060,86610,1354354560,1
25544,85970,1354354560,1
82060,86610,1354354560,1
25544,85970,1354354620,1
85970,25544,1354354680,1
85970,25544,1354354740,1
86610,82060,1354355100,1
86610,82060,1354355160,1
82060,86610,1354355160,1
82060,86610,1354355220,1
89827,66754,1354355400,1
89827,66754,1354355460,1
75261,71627,1354355640,1
51597,25544,1354355760,1
89827,66754,1354356180,0
57637,23144,1354356420,1
57637,23144,1354356480,1
86009,92699,1354356540,1
95994,84472,1354356600,1
23144,57637,1354356840,1
86610,82060,1354357380,1
86610,82060,1354357440,0
82060,86610,1354357500,1
45000,22745,1354357560,0
57637,23144,1354357560,1
57637,23144,1354357620,1
45000,22745,1354357860,0
57637,23144,1354357920,1
57637,23144,1354357980,1
23144,57637,1354358100,1
86610,82060,1354358220,1
82060,86610,1354358220,1
86610,82060,1354358280,1
86610,82060,1354358340,1
57637,23144,1354358580,1
23144,57637,1354358700,1
23144,57637,1354358760,1
59367,25947,1354359060,1
86009,92699,1354359720,1
25947,59367,1354359900,1
86009,92699,1354360860,1
23144,57637,1354361760,1
57637,23144,1354361820,1
92699,86009,1354361940,1
86727,45539,1354362720,1
45539,86727,1354362840,1
57637,66754,1354363620,1
23144,57637,1354363680,1
57637,23144,1354364220,1
57637,23144,1354364280,1
57637,23144,1354364340,1
22745,13882,1354364400,1
13882,22745,1354364580,1
23144,57637,1354364580,1
23144,57637,1354364640,1
57637,23144,1354364760,1
22745,13882,1354364820,1
22745,13882,1354365180,1
84472,95994,1354366920,1
84472,71187,1354368360,1
71187,84472,1354368540,1
71187,84472,1354368600,1
84472,71187,1354368900,1
71187,84472,1354368960,1
99893,24853,1354369320,1
84472,71187,1354369380,1
46160,23642,1354391880,1
23642,46160,1354392120,1
23642,46160,1354392960,1
46160,23642,1354393020,1
23642,46160,1354393080,1
95994,84472,1354393200,1
46160,23642,1354394160,1
71627,75261,1354394220,0
75261,71627,1354394640,1
75261,71627,1354394700,1
71627,75261,1354394700,1
75261,71627,1354395060,1
71627,75261,1354395240,1
96124,84841,1354396440,1
60830,97655,1354396800,1
97655,60830,1354397700,1
13799,86727,1354397700,1
13799,86727,1354397760,1
13799,86727,1354397820,1
60830,97655,1354397820,1
60830,97655,1354397880,1
97655,60830,1354398420,1
86727,13799,1354398420,1
86727,13799,1354398480,1
97655,60830,1354398540,1
84472,95994,1354398540,1
13799,86727,1354398660,1
13799,86727,1354398720,1
60830,97655,1354398780,1
38901,22617,1354398780,1
38901,22617,1354398840,1
46584,19844,1354398840,1
86727,13799,1354398900,1
46584,19844,1354398900,1
19844,46584,1354399080,1
95994,84472,1354399200,1
97655,60830,1354399500,1
60830,97655,1354399980,1
97655,60830,1354400100,1
22617,38901,1354400160,1
38901,22617,1354400220,1
60830,97655,1354400280,1
46584,19844,1354400700,1
19844,46584,1354400820,1
22617,38901,1354401000,1
22617,38901,1354401060,1
38901,22617,1354401120,1
98639,66245,1354401300,1
22617,38901,1354401540,1
78911,51722,1354401600,1
78911,51722,1354401660,1
23144,57637,1354403040,1
38901,22617,1354403280,1
38901,22617,1354403340,1
57637,23144,1354403580,1
84841,96124,1354403760,1
51722,78911,1354404480,1
78911,51722,1354404660,1
78911,51722,1354404720,1
22617,38901,1354404960,1
22617,38901,1354405020,1
51722,78911,1354405260,1
51722,78911,1354405320,1
78911,51722,1354405440,1
51722,78911,1354405500,1
51722,78911,1354405560,1
78911,51722,1354405620,1
51722,78911,1354405740,1
51722,78911,1354405800,1
82060,86610,1354406280,0
82060,86610,1354406880,1
82060,86610,1354406940,1
82060,86610,1354407000,1
86610,82060,1354407720,1
82060,86610,1354407780,1
86610,82060,1354408200,1
86610,82060,1354408260,1
18394,74916,1354408320,1
96124,84841,1354408320,1
18394,74916,1354408320,1
82060,86610,1354408320,1
82060,86610,1354408620,1
74916,18394,1354408680,1
86610,82060,1354408740,1
18394,74916,1354408800,1
18394,74916,1354408860,1
74916,18394,1354409040,1
74916,18394,1354409100,1
18394,74916,1354409280,1
84841,96124,1354409340,0
18394,74916,1354409640,1
97655,60830,1354410000,1
74916,18394,1354410060,1
60830,97655,1354410060,1
86610,82060,1354410060,1
60830,97655,1354410060,1
86610,82060,1354410060,1
60830,97655,1354410060,0
18394,74916,1354410120,1
82060,86610,1354410120,1
18394,74916,1354410120,1
82060,86610,1354410120,1
86610,82060,1354410240,1
86610,82060,1354410300,1
82060,86610,1354410420,1
82060,86610,1354410540,1
62560,31583,1354412400,1
31583,62560,1354412880,1
46584,19844,1354412940,1
62560,31583,1354412940,1
46584,19844,1354413000,1
19844,46584,1354413060,1
19844,46584,1354413120,1
51552,89827,1354414260,1
31583,62560,1354414920,1
25947,59367,1354415700,1
89827,51552,1354416240,1
88133,82282,1354417140,1
35227,68494,1354417380,1
86610,82060,1354418100,1
25947,59367,1354418400,1
25947,59367,1354418460,1
59367,25947,1354418520,1
59367,25947,1354418580,1
45000,22745,1354418760,1
25494,25494,1354418820,0
92699,86009,1354420320,1
86009,92699,1354420380,1
96124,84841,1354420560,0
92699,86009,1354420680,1
92699,86009,1354420740,1
77824,19844,1354420860,1
23144,57637,1354422000,1
23144,57637,1354422060,1
57637,23144,1354422240,1
23144,57637,1354422300,1
57637,23144,1354422600,1
86009,92699,1354423320,1
96124,84841,1354423380,1
84841,96124,1354423380,1
96124,84841,1354423440,1
96124,84841,1354423500,1
84841,96124,1354423620,1
